ID,Título,Descripcion,MandatoryFor,MainRoles,Tools,Policies,Process,AdditionalReferences,AdditionalInformation,Procedure,Extra,left,top,height,width
"1","Category Strategy Development","The objective of the Category Strategy Development Process is to design and align strategic objectives and initiatives for the respective category and its sub-category over the course of the next years. The category strategy development is an iterative process in which the above stated 5 phases are necessary.
1.Internal & External Analysis.
2.(Sub-) Category Strategy Development.
3.Supplier Relationship Strategy Derivation.
4.Identification of opportunities and initiatives.
5.Category Strategy Action Plan Derivation.","[""All categories""]","[""Purchasing Proyect"",""Plant Users"",""Legal""]","[{""nombre"": ""Go to Excel Tool"",""link"": ""https://nemako365.sharepoint.com/:x:/s/Global/Other/Purchasing_Portal/EZLIy7x1PpVMsIimcFiTbuwBxMAaLXiuztsd-EBIqmUUqA?e=GQhpa1""},{""nombre"": ""Go to Excel Tool"",""link"": ""https://nemako365.sharepoint.com/:x:/s/Global/Other/Purchasing_Portal/EZLIy7x1PpVMsIimcFiTbuwBxMAaLXiuztsd-EBIqmUUqA?e=GQhpa1""}]","[{""nombre"": ""Global List"",""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx""},{""nombre"": ""Purchasing Committees"",""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx""}]","[​​{""nombre"": ""Follow the process"",""link"": ""https://nemako365.sharepoint.com/:u:/s/Global/Other/Purchasing_Portal/EdG9g2viyYhImSUKdHgcEp4BFdXmqmFUf2qicw6oGUNF0Q?e=TmZJy3""}]",,,,,"60.956790123456784%","6.2876254180602%","8.655518394648835%","11.39506172839506%"
"2","Supplier Portfolio Management","The Supplier Portfolio Management aims to set up a sustainable supplier portfolio, based on past experiences and future expectations, to achieve competitive advantages.","[""Catergory 1 & 2"",""Critical Category 3 & 4""]","[""Category Mangement""]","[​​{""nombre"": ""No tool(s)"",""link"": """"}]","[{""nombre"": ""Global List"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx%22%3E""}, {""nombre"": ""Purchasing Committees"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx%22%3E""}]","[{""nombre"": ""Go to Process"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Purchasing%20Global%20Processes/Global%20Purchasing%20Strategic/NPR_GBL_PUR_4%2006_Supplier%20Portfolio%20Management.pdf?siteid={7D2B27CF-7372-4C27-980D-C27E378E0584}&amp;webid={A5DF63F5-C875-4C7D-8960-5A677E452980}&amp;uniqueid={930F267A-ECE5-4563-B164-E75B6FDCD2D2}""}]",,,"[{""nombre"": ""Go to Procedure"", ""link"": ""https://nemako365.sharepoint.com/:b:/s/Global/Other/Purchasing_Portal/EQ_ns0ZZFGZGoHnZ4TjTGzsBFlN0ByER7_M6PXcNcVP5MA?e=NyKH0j""}]",,"73.33470394736842%","6.267806267806268%","8.547008547008547%","10.921052631578949%"
"3","Specification Management","The purpose of this process is to gather specifications from the PDC, customers and engineering departments. The specification management process is closely related several milestones of the NPDS Methodology and can be related to the different steps of the process.","[""Catergory 1 & 2"",""Critical Category 3 & 4""]","[""Program Mangement Core Team"",""Purchasing Proyect"",""Category Mangement""]","[​​{""nombre"": ""No tool(s)"",""link"": """"}]","[{""nombre"": ""Purchasing Requisitions"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx""},
{""nombre"": ""Vendors Policy"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx""}]","[{""nombre"": ""Go to Process"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Purchasing%20Global%20Processes/Global%20Purchasing%20Tactical%27""}]","[{""nombre"": ""Imagen"", ""link"": ""http://mtyaps0081.am.nemak.net/NPDS/master_map_files/Master%20Map%20V11.0.pdf}]",,,"[{""nombre"": "" Aluminum, Alloys & Scrap"", ""link"": ""https://nemako365.sharepoint.com/:b:/s/Global/Other/Purchasing_Portal/EafSYuG0PPJHrplLIJlDCbkBVWGDleqdfjgLImtfv8HkOA?e=TGSDWq%22%3E""},
{""nombre"": "" Capex & Tooling"", ""link"": ""https://nemako365.sharepoint.com/:b:/s/Global/Other/Purchasing_Portal/EfMlpUx0II1IhN3DchnTOQQBVFhF9fAvhitwBCTLlw_GHw?e=xCLn8u%22%3E""},
{""nombre"": ""Machining"", ""link"": ""https://nemako365.sharepoint.com/:b:/s/Global/Other/Purchasing_Portal/EXr_R8aQfrZCmKrjmyuNnFABowYrzH-VlziJdbi3iaEC5A?e=p4gzto%22%3E""},
{""nombre"": ""Direct Materials"", ""link"": ""https://nemako365.sharepoint.com/:b:/s/Global/Other/Purchasing_Portal/EbdeMhviYAJCnfaUq0sJ_4oBRkL3jaI7SU5-OhQzBzvssw?e=Mz7Qvi%22%3E""}]","11,887538580246913%","25,08361204013378%","7,6923076923076925%","7,098765432098765%"
"4","Demand Management","The purpose of this process is to collect and analyze the demand from all plants/department in order to enable the RFX process.","[""Catergory 1 & 2"",""Critical Category 3 & 4""]","[""Category Mangement""]","[​​{""nombre"": ""No tool(s)"",""link"": """"}]",,"[{""nombre"": ""Go to Process"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Purchasing%20Global%20Processes/Forms/AllItems.aspx?RootFolder=%2Fsites%2FAll%2DGlobal%2FGovernanceAndCompliance%2FPurchasing%20Global%20Processes%2FGlobal%20Purchasing%20Tactical&amp;FolderCTID=0x012000F90CEBD366549C449CAB6F37239B96D0%27""}]","[{""nombre"": "" UNSPSC"", ""link"": ""https://nemako365.sharepoint.com/:f:/s/Global/Other/Purchasing_Portal/EilDg-ntML5ImfGYzqwOV7MBvn2XW174yCXOdgw-id7TYA?e=1Wqhlo%22%3E""}]",,,,"19,449266975308642%","24,74916387959866%","7,6923076923076925%","6,635802469135803%"
"5","RFX","The purpose of this process is to identify which suppliers have the best offers both in terms of price, total cost and quality given the required specifications. The RFX process covers the Request for Information (RFI), the Request for Proposal (RFP) and the Request for Quotation (RFQ).","[""Catergory 1 & 2"",""Critical Category 3 & 4""]","[""Plant Users"",""Purchasing Operations"",""Category Mangement""]","[{""nombre"": ""Go to P4T"", ""link"": ""'https://www.pool4tool.com/sso/nemak%27""}]","[{""nombre"": ""Contracts"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx""},
{""nombre"": ""CAPEX & Tooling Purchases"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx""},
{""nombre"": ""Emergency Purchases Procedure"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx""},
{""nombre"": ""Purchase Orders"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx""},
{""nombre"": ""Global List"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx""},
{""nombre"": ""Purchasing Committees"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx%22%3E""}]","[{""nombre"": ""Go to Process"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Purchasing%20Global%20Processes/Global%20Purchasing%20Tactical""}]",,,,"[{""nombre"": ""P4T RFQ Manuals"", ""link"": ""https://nemako365.sharepoint.com/:f:/s/Global/Other/Purchasing_Portal/En8aVkCqmxhPkM_i0G7cyXwBYC6_1KCJMv-OOQzsDF20og?e=6vDezC%27""}]","26,85667438271605%","25,08361204013378%","7,6923076923076925%","6,327160493827161%"
"6","Negotiation","The objective of the negotiation process is to identify the final supplier (based on a list of previously selected potential suppliers) and negotiate the optimum value contribution (cost and value) for overall Nemak benefits. The process can be supported by the “pre-sourcing” meeting involving the RPC/GPC, consiting of review, discussion and agreement of:
Alternatives of supply
Strategy for negotiation
Competition Creation
List of potential Suppliers","[""Catergory 1 & 2"",""Critical Category 3 & 4""]","[""Category Mangement""]","[{""nombre"": ""Go to Excel Tool"", ""link"": ""https://nemako365.sharepoint.com/:x:/s/Global/Other/Purchasing_Portal/Eaqufwju6EhCqTsAo-q8c3cBn7P19Nwu7CH2tGNgqxehxA?e=bGCYvV%27""}]","[{""nombre"": ""Contracts"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx""},
{""nombre"": ""CAPEX & Tooling Purchases"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx""},
{""nombre"": ""Emergency Purchases Procedure"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx""},
{""nombre"": ""Purchase Orders"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx""},
{""nombre"": ""Global List"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx""},
{""nombre"": ""Purchasing Committees"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx""}]","[{""nombre"": ""Go to Process"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Purchasing%20Global%20Processes/Global%20Purchasing%20Tactical""}]",,,,,"34,264081790123456%","24,74916387959866%","7,6923076923076925%","6,327160493827161%"
"7","Contracting","The objective of the contracting process is to formalize and consolidate the negotiated agreements with the suppliers by signing-off a contract between Nemak and the supplier. Nemak uses standard contracts to ease the contracting process:
Master Purchasing: Contracts in which most terms and conditions are usually defined in advance, before the RFX process.
Commercial Agreements: Commercial specific terms and conditions agreed.
Quality Agreements: Quality terms, conditions and requirements agreed including quality audits.
SOW (Statement Of Work): Describes the frame of the services of the supplier within the contract.","[""Catergory 1 & 2"",""Critical Category 3 & 4""]","[""Category Mangement"",""Legal""]","[​​{""nombre"": ""No tool(s)"",""link"": """"}]","[​​{""nombre"": ""Go to MPA guideline"",""link"": ""https://nemako365.sharepoint.com/sites/Global/Other/Purchasing_Portal/Contracts%20Repository/Forms/AllItems.aspx?siteid=%7BCD0D8DF3%2DE6CC%2D4408%2DBDED%2D304C829135F2%7D&amp;webid=%7B0A9C8084%2DA5DC%2D4722%2D9000%2D2BDA5A0E66BE%7D&amp;uniqueid=%7B10802906%2DD4BB%2D4997%2D998C%2D3F10A16B587C%7D&amp;id=%2Fsites%2FGlobal%2FOther%2FPurchasing%5FPortal%2FContracts%20Repository%2F1%2E%20Templates""}]","[​​{""nombre"": ""Go to Process"",""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Purchasing%20Global%20Processes/Global%20Purchasing%20Tactical""}]",,,,"[{""nombre"": ""Direct Materials Agreements"", ""link"": ""https://nemako365.sharepoint.com/sites/Global/Other/Purchasing_Portal/Contracts%20Repository/Forms/AllItems.aspx?id=%2Fsites%2FGlobal%2FOther%2FPurchasing%5FPortal%2FContracts%20Repository%2F1%2E%20Templates%2FDirect%20material%20Agreements""},
{""nombre"": ""Indirect Materials Agreements"", ""link"": ""https://nemako365.sharepoint.com/sites/Global/Other/Purchasing_Portal/Contracts%20Repository/Forms/AllItems.aspx?id=%2Fsites%2FGlobal%2FOther%2FPurchasing%5FPortal%2FContracts%20Repository%2F1%2E%20Templates%2FIndirect%20material%20Agreements""}]","41,517168209876544%","25,418060200668897%","7,6923076923076925%","6,327160493827161%"
"8","Implementation & Compliance","The purpose of this process is to ensure the correct implementation and compliance of  the supplier contracts. The process can be supported through the use of expediting as a form of controlling the quality and timely delivery of goods from the supplier. There are 3 types of expediting can be implemented to get information from the supplier
Desk expediting: refers to the controlling of the milestones and progress of the supplier by contacting him either per email or per phone.
On-site expediting: as opposed to the desk expediting, the on-site expediting implicates that the expeditor will go on the field to meet the supplier and control himself the progress of the good’s manufacturing.
External expediting: the external expediting is performed through a third party.","[""Catergory 1 & 2"",""Critical Category 3 & 4""]","[""Category Mangement"",""Purchasing Operations""]","[​​{""nombre"": ""No tool(s)"",""link"": """"}]","[{""nombre"": ""Go to Contracts Policy"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Pages/Purchasing.aspx""}]","[​​{""nombre"": ""Go to process"",""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Purchasing%20Global%20Processes/Global%20Purchasing%20Tactical""}]",,,,,"48,770254629629626%","25,418060200668897%","7,6923076923076925%","6,327160493827161%"
"9","Handover to Series","The purpose of this process is to ensure a correct handover of the sourcing package (incl. e.g. relevant documents, information, sourcing decision, approvals, etc.) and therefore enable a efficient start of the series process.","[""Catergory 1 & 2"",""Critical Category 3 & 4""]","[""Category Mangement"",""Purchasing Operations""]","[​​{""nombre"": ""No tool(s)"",""link"": """"}]",,"[​​{""nombre"": ""Go to process"",""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Purchasing%20Global%20Processes/Global%20Purchasing%20Tactical""}]","[{""nombre"": ""MPA Guidelines"", ""link"": ""https://nemako365.sharepoint.com/sites/Global/Other/Purchasing_Portal/Contracts%20Repository/Forms/AllItems.aspx?id=%2Fsites%2FGlobal%2FOther%2FPurchasing%5FPortal%2FContracts%20Repository%2F1%2E%20Templates""},
{""nombre"": ""Supplier Agreement Overview"", ""link"": ""https://nemako365.sharepoint.com/:p:/s/Global/Other/Purchasing_Portal/EUFIVLTiK4VFrQ7CS6Hz1P0Bd0Po4frZiko5oRA5GraMHA?e=8uJN5S""},
{""nombre"": ""Contracts repository"", ""link"": ""https://nemako365.sharepoint.com/sites/Global/Other/Purchasing_Portal/Contracts%20Repository/Forms/AllItems.aspx""}]",,,,"56,0233410493827%","25,08361204013378%","7,6923076923076925%","6,327160493827161%"
"10","Supplier Risk Management","The Supplier Risk Management is setup to identify and evaluate supplier risks to define according actions and to measure the results of the actions taken.","[""Catergory 1 & 2"",""Critical Category 3 & 4""]","[""Category Mangement"",""Supplier Quality""]","[{""nombre"": ""Go to Supplier Risk Assessment Tool "", ""link"": ""'http://mtyaps0081.am.nemak.net/SupplierRisk/""}]",,"[{""nombre"": ""Go to process"", ""link"": ""https://nemako365.sharepoint.com/sites/All-Global/GovernanceAndCompliance/Purchasing%20Global%20Processes/Global%20Purchasing%20Supplier%20Management""}]",,,"[{""nombre"": ""Go to procedure"", ""link"": ""https://nemako365.sharepoint.com/:b:/s/Global/Other/Purchasing_Portal/EQSIDIq5O8dLpDioKQt_EqEBZLRCZXNXNrivJB7659GPfg?e=q9Z9Qw""}]","[{""nombre"": ""Go to CreditSafe Handouts"", ""link"": ""https://nemako365.sharepoint.com/:f:/s/Global/Other/Purchasing_Portal/En0ofOAz8I9Jukxy0atDZocB19XlTyXkCI8pndbCkFBfPg?e=vIleg0""}]","65,12827932098766%","26,421404682274247%","4,013377926421405%","31,48148148148148%"
